NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage! 
816;m;47;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Steinburg;0;22964;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;Tonies,Bluebrixx,Anton App;Bluebrixx,Tonies;5;5;3;2;4;3;6;2;3;4;5;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Lesen;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
817;f;38;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Eppingen;0;75031;DEU;Android;Mit Kind(ern);4;11 bis 18 Jahre;11 bis 18 Jahre;11 bis 18 Jahre;1 bis 3 Jahre;Gut 6nd günstig;Baby born;5;2;3;3;2;2;4;4;1;3;4;Ich fühle mich nicht unter Druck gesetzt;Ich weiß es nicht;Lesen;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben eher keinen Einfluss;Nein;-;Pudding
818;m;45;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Babenhausen;0;64832;DEU;Android;Mit Partner*in & Kind(ern);2;1 bis 3 Jahre;1 bis 3 Jahre;-;-;tonie;brio;5;4;5;4;5;5;5;4;4;5;5;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;tablet;Gut;Nein;-;-;-;-;-;-;-;Asien;0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
819;f;38;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bamberg;0;96052;DEU;Android;Mit Kind(ern);1;7 bis 10 Jahre;-;-;-;satch;diamon painting;4;4;4;4;3;1;6;5;1;2;5;Vereinbarkeit Familie & Beruf;Gar keine;-;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
820;f;22;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;1;13059;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Adidas,Apple,Android;Haba;6;2;2;3;2;6;5;3;4;3;6;Erwartungen der eigenen Familie;1 bis 2 Stunden;Am Handy;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
821;f;18;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Obersulm;0;74182;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;nike,addidas;schleichen;6;1;1;3;1;3;6;4;1;6;3;Anforderungen von Schule / Kita;1 bis 2 Stunden;Aufräumen;Gut;Ja;0;1;0;0;0;0;Geschwister;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
822;m;31;3a;Saarland;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Saarwellingen;0;66793;DEU;iOS;Mit Partner*in;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;Pixar;Lego,Disney;5;6;6;5;5;6;5;4;5;4;5;Erwartungen der eigenen Familie;1 bis 2 Stunden;Am Handy;Gut;Ja;1;0;0;0;0;0;0;Nord-Amerika;0;0;0;0;0;0;1;0;Haben eher einen Einfluss;Ja;-;Pudding
823;f;63;4;Bayern;in Rente;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Muenchen;1;81543;DEU;Android;Alleine wohnend;2;Über 18;Über 18;-;-;Nike,Samsung;Playmobil;5;3;5;1;3;4;6;4;6;5;5;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Lesen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
824;f;30;6;Mecklenburg-Vorpommern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Wedendorf;0;19217;DEU;iOS;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;keine;tonie box;4;5;4;5;4;5;6;6;6;5;6;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Aufräumen;Nicht gut;Ja;0;0;0;0;0;0;Familie;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Das möchte ich nicht beantworten;Nein;-;Pudding
825;m;49;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Winsen (Aller);0;29308;DEU;Android;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;lbs;lego;4;4;5;6;2;3;5;5;4;3;5;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Ja;0;1;0;0;0;0;0;Deutschland;0;0;0;1;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
826;m;42;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Gersfeld;0;36129;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Samsung;Märklin;4;3;2;4;3;3;3;4;3;3;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
827;m;19;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Paderborn;1;33098;DEU;iOS;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;Lego,Playmobil,Cars,Nike,Adidas,Sony,Microsoft;Playdo;5;5;4;5;5;5;6;5;3;4;5;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Sport;Sehr gut;Ja;1;1;0;0;1;0;0;Nord-Amerika;0;0;1;0;0;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
828;f;57;1;Niedersachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Lueneburg;0;21337;DEU;Android;Mit Kind(ern);3;Über 18;Über 18;Über 18;-;More Nutriton Clear;Playmobil;3;3;6;6;5;3;5;6;1;5;6;Erwartungen der eigenen Familie;Ich weiß es nicht;Am Handy;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
829;f;46;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Hannover;1;30167;DEU;Android;Mit Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;nike,the north face;keine;5;3;4;6;3;4;5;5;1;2;5;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Organisation von Alltagsthemen;Gut;Ja;0;0;0;0;0;0;Oma;Deutschland;0;0;0;1;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
830;f;26;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Paderborn;1;33098;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;ehrenkind;duplo,tonie,tiptoi;3;6;3;6;5;3;6;6;1;4;5;Politik, die Familien nicht genug berücksichtigt;Gar keine;-;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Ja;-;Pudding
831;m;45;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;1 Person;>5000€;Single / Ledig;(Noch) kein Abschluss;Ohne Abschluss;Lippstadt;0;59557;DEU;Android;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;7 bis 10 Jahre;1 bis 3 Jahre;-;Rewe Bio;Lego;6;3;4;4;2;2;4;3;2;3;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Sport;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;1;0;0;0;0;0;0;Haben keinen Einfluss;Ja;-;Pudding
832;m;53;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Oberstenfeld;0;71720;DEU;iOS;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Bosch,Fender,Lenovo,Apple,Amazon;Lego;6;2;3;4;1;3;3;3;1;3;3;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Gitarre spielen;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
833;f;30;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Nordhausen;0;99734;DEU;Android;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;Keine;Lego;5;5;4;6;4;6;6;6;1;6;6;Erwartungen der eigenen Familie;5 bis 30 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
834;f;20;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Bekmuende;0;25524;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;4 bis 6 Jahre;-;-;C&A;mytoys;4;5;5;5;4;4;4;4;4;5;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Ja;0;0;0;1;0;1;0;Osteuropa (Russland, Bulgarien etc.);0;0;1;0;0;0;0;0;Haben einen Einfluss;Ja;-;Pudding
835;f;27;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Jockgrim;0;76751;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;Keine Ahnung;fisher price;6;3;4;6;2;3;4;6;5;3;4;Ich weiß es nicht;< 5 Minuten;Meditation;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Das möchte ich nicht beantworten;Nein;-;Pudding
836;m;18;6;Sachsen-Anhalt;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Steimke;0;38486;DEU;Android;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;Nike,hipp;lego;4;4;4;4;4;4;4;4;4;4;4;Ich fühle mich nicht unter Druck gesetzt;5 bis 30 Minuten;Sport;Gut;Ja;0;1;0;0;0;0;0;Nordeuropa (Norwegen, Schweden, inkl. Großbritannien);0;0;0;0;0;0;1;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
837;m;65;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Potsdam;1;14482;DEU;Android;Alleine wohnend;1;11 bis 18 Jahre;-;-;-;Ubisoft;Mario;6;4;3;5;1;6;6;6;4;6;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Am Handy;Sehr gut;Weiß nicht;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;0;1;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
838;m;17;6;Mecklenburg-Vorpommern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Rechlin;0;17248;DEU;Android;Mit Partner*in;2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;hipp;toys;4;5;5;6;5;5;5;5;6;6;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Gut;Ja;1;0;1;0;0;1;0;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;1;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
839;m;62;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Vilshofen;0;94474;DEU;iOS;Mit Partner*in;2;Über 18;Über 18;-;-;Amazon;keine;4;5;1;3;5;1;6;4;4;4;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Lesen;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
840;f;32;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Dessau-Rosslau;0;6842;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Nintendo;tonibox;6;6;6;6;6;6;6;6;6;6;6;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Lesen;Sehr gut;Ja;1;1;1;1;1;1;0;Deutschland;0;0;0;0;1;1;0;0;Haben einen Einfluss;Ja;-;Pudding
841;f;50;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Taunusstein;0;65232;DEU;iOS;Mit Partner*in & Kind(ern);2;Über 18;Über 18;-;-;keine;Lego;1;6;6;6;6;2;6;6;1;5;6;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Das möchte ich nicht beantworten;-;Pudding
842;f;32;1;Schleswig-Holstein;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Enge-Sande;0;25917;DEU;iOS;Mit Partner*in & Kind(ern);3;4 bis 6 Jahre;4 bis 6 Jahre;Unter 1 Jahr;-;milasan,vtech,babylove;minecraft;5;5;4;5;5;3;6;6;1;4;4;Gesellschaft, die Familien nicht genug unterstützt;< 5 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben eher keinen Einfluss;Nein;-;Pudding
843;m;34;1;Niedersachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Wilhelmshaven;0;26389;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;Pokemon;Pokémon;5;4;2;4;2;2;5;4;4;5;2;Politik, die Familien nicht genug berücksichtigt;> 2 Stunden;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
844;m;31;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;1;12359;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;nike;playstation;5;5;5;6;5;5;6;4;1;6;4;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Lesen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
845;f;50;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Ratingen;0;40882;DEU;Android;Mit Kind(ern);2;Über 18;11 bis 18 Jahre;-;-;ikea;Sony;6;3;5;5;3;5;5;5;5;5;5;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Ja;-;Pudding
846;f;26;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Nordhausen;0;99734;DEU;Android;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;Keine;Lego;6;6;4;6;4;6;6;6;1;6;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
847;f;64;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Herford;0;32049;DEU;Android;In einer Wohngemeinschaft;2;Über 18;Über 18;-;-;EON;Ravensburger;4;5;6;6;5;5;6;6;5;5;6;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
848;f;24;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Koeln;1;50667;DEU;Android;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;storck;mytoys;5;5;5;4;4;5;3;4;5;3;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
849;m;46;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Dresden;0;1458;DEU;Android;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;11 bis 18 Jahre;11 bis 18 Jahre;-;samsung;schleich;5;2;2;4;2;1;6;5;4;5;5;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
850;m;45;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Hirschhorn;0;69434;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;1 bis 3 Jahre;-;-;Pampers;hasbro;6;1;3;5;1;2;4;4;1;1;1;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
851;f;19;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Schkeuditz;0;4435;DEU;Android;Alleine wohnend;2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;Lego;Lego;5;3;3;4;3;3;3;4;3;3;4;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Meditation;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
852;f;56;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Berlin;1;13591;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Weiß ich nicht;Lego;4;4;5;5;4;4;5;5;3;6;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben eher einen Einfluss;Nein;-;Pudding
